candidato_id,nome,partido,cargo,cidade,idade
43,Vitor Fogaça,QWE,Vereador,Lima,43
27,Miguel Freitas,xyz,Senador,Castro de Aragão,72
51,Sr. Arthur Castro,NOVO,Governador,Sales,74
46,Fernanda Monteiro,ABC,Prefeito,Ramos,84
30,Erick Barbosa,XYZ,Vereador,Almeida de Barbosa,67
26,Sr. Cauã Novaes,UNI,Senador,Dias,39
17,Olivia Costela,NOVO,Vereador,Sales,70
30,sra. pietra barros,UNI,Prefeito,Pereira,82
80,eloah lopes,XYZ,Senador,Mendes dos Dourados,32
18,João Pedro Cardoso,qwe,Governador,Martins das Flores,34
8,Elisa Dias,XYZ,Vereador,da Cruz,67
2,Sr. Gustavo Henrique Rocha,UNI,Governador,Rodrigues,28
20,Thiago Carvalho,UNI,Vereador,Santos,88
23,Lara Jesus,ABC,Prefeito,Jesus do Campo,78
40,Rafael Martins,XYZ,Vereador,Moraes da Mata,23
10,Marina Fernandes,QWE,Prefeito,Moreira da Prata,36
25,murilo da cunha,abc,Senador,Peixoto,75
56,Agatha Nunes,PDT,Prefeito,Porto,48
29,Isabella Pereira,DEM,Governador,Moreira,41
35,Gustavo Rezende,PDT,Prefeito,Fogaça,90
55,Milena Duarte,UNI,Prefeito,Araújo de Goiás,81
27,mirella pinto,DEM,Governador,Martins,43
21,João Gomes,UNI,Senador,Vieira do Sul,44
69,Eduardo Alves,XYZ,Senador,Melo do Oeste,61
16,Isis Jesus,QWE,Prefeito,Sales da Mata,15
25,Dr. Enzo Gabriel Rocha,QWE,Governador,Carvalho,46
26,Davi Nogueira,DEM,Senador,das Neves,54
65,Juliana da Cunha,XYZ,Governador,Farias,56
26,Sofia Moura,ABC,Senador,Nogueira,-1
19,Bruna Ribeiro,QWE,Vereador,Teixeira,24
47,Ana Sophia da Conceição,NOVO,Prefeito,da Mata,83
76,Pedro Lucas Sales,XYZ,Vereador,da Costa da Serra,50
71,Alexia Dias,XYZ,Governador,da Luz,-1
15,Dr. Davi Lucca Rocha   ,ABC,Prefeito,Teixeira,62
41,joão gabriel nunes,ABC,Vereador,Azevedo,39
71,Sra. Amanda Lima,ABC,Governador,Pereira dos Dourados,58
7,Letícia Campos,UNI,Governador,Cardoso de Vieira,76
49,maria cecília moreira,DEM,Senador,Pires Verde,82
73,Davi Luiz Novaes,XYZ,Senador,Mendes de Rocha,48
53,Cauê Monteiro,ABC,Governador,Dias de Melo,55
23,theo sales,PDT,Vereador,Caldeira da Serra,49
