station_city,station_state,station_lat,station_lon,as_of_date,temp,feels_like,wind_speed,wind_direction,precipitation,pressure,visibility,humidity,weather_description,sunrise,sunset
Sao Luis,MA,-2.5307,-44.3068,2026/05/08 08:00,29,32,15,NE,0.0,1013.10,10.0,74,Parcialmente nublado,05:58:00,17:52:00
Imperatriz,MA,-5.5264,-47.4917,2026/05/08 08:05,31,35,10,E,0.0,1012.20,9.0,68,Ensolarado,06:01:00,17:55:00
Caxias,MA,-4.8588,-43.3554,2026/05/08 08:10,28,31,18,N,0.5,1012.80,8.5,82,Chuva leve,05:59:00,17:53:00
Teresina,PI,-5.0892,-42.8016,2026/05/08 08:15,33,38,16,SE,0.0,1011.00,10.0,63,Muito quente,05:52:00,17:45:00
Fortaleza,CE,-3.7319,-38.5267,2026/05/08 08:20,30,34,20,NE,0.0,1014.00,10.0,76,Ceu limpo,05:35:00,17:30:00
Belem,PA,-1.4558,-48.4902,2026/05/08 08:25,27,31,14,NW,2.1,1011.90,7.5,89,Chuva moderada,06:02:00,17:58:00
Palmas,TO,-10.184,-48.3336,2026/05/08 08:30,32,36,13,E,0.0,1010.50,10.0,58,Ensolarado,06:10:00,17:59:00
Natal,RN,-5.7945,-35.211,2026/05/08 08:35,29,33,24,NE,0.0,1014.40,10.0,77,Vento forte,05:20:00,17:18:00
Recife,PE,-8.0476,-34.877,2026/05/08 08:40,30,35,19,E,0.0,1013.70,10.0,79,Ceu claro,05:16:00,17:13:00
Salvador,BA,-12.9714,-38.5014,2026/05/08 08:45,31,36,17,SE,0.0,1012.60,9.5,73,Ensolarado,05:30:00,17:25:00
Joao Pessoa,PB,-7.1153,-34.861,2026/05/08 08:50,29,34,21,E,0.0,1013.90,10.0,78,Ceu limpo,05:18:00,17:15:00
Aracaju,SE,-10.9472,-37.0731,2026/05/08 08:55,30,35,16,SE,0.0,1012.80,9.5,75,Parcialmente nublado,05:28:00,17:23:00
Maceio,AL,-9.6498,-35.7089,2026/05/08 09:00,29,33,18,E,0.0,1013.30,10.0,80,Ceu claro,05:22:00,17:18:00
Manaus,AM,-3.119,-60.0217,2026/05/08 09:05,28,34,11,W,3.5,1010.70,6.0,92,Tempestade,06:03:00,18:00:00
Rio Branco,AC,-9.9747,-67.8243,2026/05/08 09:10,27,31,9,SW,4.2,1009.80,5.5,94,Chuva intensa,06:08:00,18:02:00
Porto Velho,RO,-8.7612,-63.9004,2026/05/08 09:15,29,34,10,W,2.7,1010.10,6.5,88,Nublado,06:05:00,18:01:00
Boa Vista,RR,2.8235,-60.6753,2026/05/08 09:20,33,37,12,N,0.0,1011.50,10.0,60,Ensolarado,05:48:00,17:50:00
Macapa,AP,0.0349,-51.0694,2026/05/08 09:25,30,35,13,NE,1.2,1012.00,8.0,84,Chuva leve,06:00:00,18:01:00
Curitiba,PR,-25.4284,-49.2733,2026/05/08 09:30,20,21,14,S,0.0,1018.10,10.0,65,Frio leve,06:35:00,17:45:00
Florianopolis,SC,-27.5949,-48.5482,2026/05/08 09:35,22,24,18,SE,0.0,1017.60,10.0,70,Ceu claro,06:40:00,17:48:00
Porto Alegre,RS,-30.0346,-51.2177,2026/05/08 09:40,19,20,20,S,0.0,1019.00,10.0,68,Vento frio,06:45:00,17:50:00
Sao Paulo,SP,-23.5505,-46.6333,2026/05/08 09:45,24,26,15,SE,0.0,1016.20,10.0,72,Nublado,06:25:00,17:38:00
Campinas,SP,-22.9099,-47.0626,2026/05/08 09:50,25,27,14,E,0.0,1015.90,10.0,70,Parcialmente nublado,06:24:00,17:37:00
Santos,SP,-23.9608,-46.3336,2026/05/08 09:55,26,30,19,SE,0.0,1015.50,10.0,78,Umido,06:23:00,17:36:00
Rio de Janeiro,RJ,-22.9068,-43.1729,2026/05/08 10:00,28,33,17,E,0.0,1014.80,10.0,76,Ensolarado,06:15:00,17:31:00
Niteroi,RJ,-22.8832,-43.1034,2026/05/08 10:05,27,31,16,SE,0.0,1014.90,10.0,75,Ceu claro,06:15:00,17:31:00
Belo Horizonte,MG,-19.9167,-43.9345,2026/05/08 10:10,26,29,12,E,0.0,1015.10,10.0,69,Parcialmente nublado,06:08:00,17:28:00
Uberlandia,MG,-18.9186,-48.2772,2026/05/08 10:15,27,30,13,NE,0.0,1014.60,10.0,67,Ensolarado,06:12:00,17:33:00
Goiania,GO,-16.6869,-49.2648,2026/05/08 10:20,30,34,11,E,0.0,1013.20,10.0,61,Quente,06:18:00,17:42:00
Brasilia,DF,-15.7939,-47.8828,2026/05/08 10:25,29,33,10,E,0.0,1013.50,10.0,60,Ceu aberto,06:16:00,17:41:00
Campo Grande,MS,-20.4697,-54.6201,2026/05/08 10:30,28,32,12,N,0.0,1012.90,10.0,64,Nublado,06:22:00,17:46:00
Cuiaba,MT,-15.6014,-56.0979,2026/05/08 10:35,34,39,9,NW,0.0,1011.30,10.0,52,Muito quente,06:10:00,17:50:00
Sinop,MT,-11.8604,-55.5091,2026/05/08 10:40,33,37,10,N,0.0,1011.60,10.0,55,Ensolarado,06:05:00,17:54:00
Chapeco,SC,-27.1004,-52.6152,2026/05/08 10:45,21,23,16,S,0.0,1018.00,10.0,71,Frio leve,06:42:00,17:49:00
Londrina,PR,-23.3045,-51.1696,2026/05/08 10:50,23,25,15,SE,0.0,1017.20,10.0,69,Ceu limpo,06:33:00,17:44:00
Maringa,PR,-23.4205,-51.9331,2026/05/08 10:55,24,26,14,E,0.0,1016.90,10.0,68,Parcialmente nublado,06:34:00,17:45:00
Foz do Iguacu,PR,-25.5163,-54.5854,2026/05/08 11:00,25,28,17,NE,0.0,1016.50,10.0,70,Ceu claro,06:36:00,17:47:00
Joinville,SC,-26.3044,-48.8487,2026/05/08 11:05,23,25,18,E,0.0,1017.10,10.0,74,Umido,06:41:00,17:48:00
Blumenau,SC,-26.9194,-49.0661,2026/05/08 11:10,22,24,15,SE,0.0,1017.40,10.0,75,Nublado,06:41:00,17:48:00
Pelotas,RS,-31.7654,-52.3376,2026/05/08 11:15,18,19,21,S,0.0,1019.30,10.0,72,Vento frio,06:47:00,17:51:00
Santa Maria,RS,-29.6842,-53.8069,2026/05/08 11:20,19,21,19,S,0.0,1018.90,10.0,70,Ceu claro,06:46:00,17:50:00
Juazeiro do Norte,CE,-7.2131,-39.3153,2026/05/08 11:25,32,36,13,E,0.0,1012.40,10.0,62,Quente,05:38:00,17:33:00
Petrolina,PE,-9.3891,-40.503,2026/05/08 11:30,33,37,12,NE,0.0,1011.90,10.0,59,Ceu aberto,05:40:00,17:35:00
Caruaru,PE,-8.2836,-35.9761,2026/05/08 11:35,27,30,15,E,0.0,1013.20,9.5,73,Nublado,05:19:00,17:16:00
Campina Grande,PB,-7.2306,-35.8811,2026/05/08 11:40,26,29,14,E,0.0,1013.50,9.0,74,Parcialmente nublado,05:18:00,17:15:00
Mossoro,RN,-5.1875,-37.3442,2026/05/08 11:45,31,35,20,NE,0.0,1014.20,10.0,66,Vento moderado,05:22:00,17:20:00
Parnaiba,PI,-2.9058,-41.7769,2026/05/08 11:50,30,34,23,N,0.0,1014.00,10.0,72,Ceu limpo,05:32:00,17:28:00
Santarem,PA,-2.4385,-54.6996,2026/05/08 11:55,31,36,12,NW,1.0,1011.70,8.0,83,Chuva leve,06:04:00,18:00:00
Maraba,PA,-5.3811,-49.1323,2026/05/08 12:00,32,37,11,E,0.0,1011.40,9.0,65,Ensolarado,06:00:00,17:57:00
Altamira,PA,-3.2033,-52.2063,2026/05/08 12:05,30,35,10,N,1.8,1011.60,7.5,86,Nublado,06:02:00,17:59:00
